LR_Training_5fold_piT5
[K_Fold] λ = 100.000000 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.636189
[K_Fold] λ = 0.000010 , pi_t = 0.5 , prior = 0.1 , minDCF = 0.233314
[K_Fold] λ = 0.000023 , pi_t = 0.5 , prior = 0.1 , minDCF = 0.233422
[K_Fold] λ = 0.000055 , pi_t = 0.5 , prior = 0.1 , minDCF = 0.235534
[K_Fold] λ = 0.000127 , pi_t = 0.5 , prior = 0.1 , minDCF = 0.235642
[K_Fold] λ = 0.000298 , pi_t = 0.5 , prior = 0.1 , minDCF = 0.234856
[K_Fold] λ = 0.000695 , pi_t = 0.5 , prior = 0.1 , minDCF = 0.232558
[K_Fold] λ = 0.001624 , pi_t = 0.5 , prior = 0.1 , minDCF = 0.234670
[K_Fold] λ = 0.003793 , pi_t = 0.5 , prior = 0.1 , minDCF = 0.238972
[K_Fold] λ = 0.008859 , pi_t = 0.5 , prior = 0.1 , minDCF = 0.247577
[K_Fold] λ = 0.020691 , pi_t = 0.5 , prior = 0.1 , minDCF = 0.259001
[K_Fold] λ = 0.048329 , pi_t = 0.5 , prior = 0.1 , minDCF = 0.269687
[K_Fold] λ = 0.112884 , pi_t = 0.5 , prior = 0.1 , minDCF = 0.276593
[K_Fold] λ = 0.263665 , pi_t = 0.5 , prior = 0.1 , minDCF = 0.286416
[K_Fold] λ = 0.615848 , pi_t = 0.5 , prior = 0.1 , minDCF = 0.290316
[K_Fold] λ = 1.438450 , pi_t = 0.5 , prior = 0.1 , minDCF = 0.294648
[K_Fold] λ = 3.359818 , pi_t = 0.5 , prior = 0.1 , minDCF = 0.296406
[K_Fold] λ = 7.847600 , pi_t = 0.5 , prior = 0.1 , minDCF = 0.299166
[K_Fold] λ = 18.329807 , pi_t = 0.5 , prior = 0.1 , minDCF = 0.300384
[K_Fold] λ = 42.813324 , pi_t = 0.5 , prior = 0.1 , minDCF = 0.300708
[K_Fold] λ = 100.000000 , pi_t = 0.5 , prior = 0.1 , minDCF = 0.301062
LR_Training_5fold_piT1
[K_Fold] λ = 0.000010 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.113475
[K_Fold] λ = 0.000023 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.112658
[K_Fold] λ = 0.000055 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.113028
[K_Fold] λ = 0.000127 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.114246
[K_Fold] λ = 0.000298 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.117206
[K_Fold] λ = 0.000695 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.118948
[K_Fold] λ = 0.001624 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.124931
[K_Fold] λ = 0.003793 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.135537
[K_Fold] λ = 0.008859 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.141797
[K_Fold] λ = 0.020691 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.146838
[K_Fold] λ = 0.048329 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.155272
[K_Fold] λ = 0.112884 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.158233
[K_Fold] λ = 0.263665 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.161654
[K_Fold] λ = 0.615848 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.161578
[K_Fold] λ = 1.438450 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.160853
[K_Fold] λ = 3.359818 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.162827
[K_Fold] λ = 7.847600 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.162010
[K_Fold] λ = 18.329807 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.160823
[K_Fold] λ = 42.813324 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.171060
[K_Fold] λ = 100.000000 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.182746
[K_Fold] λ = 0.000010 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.557219
[K_Fold] λ = 0.000023 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.559685
[K_Fold] λ = 0.000055 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.556000
[K_Fold] λ = 0.000127 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.553301
[K_Fold] λ = 0.000298 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.559547
[K_Fold] λ = 0.000695 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.570110
[K_Fold] λ = 0.001624 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.574516
[K_Fold] λ = 0.003793 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.589287
[K_Fold] λ = 0.008859 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.590462
[K_Fold] λ = 0.020691 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.615390
[K_Fold] λ = 0.048329 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.612219
[K_Fold] λ = 0.112884 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.606916
[K_Fold] λ = 0.263665 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.610325
[K_Fold] λ = 0.615848 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.606364
[K_Fold] λ = 1.438450 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.607032
[K_Fold] λ = 3.359818 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.637118
